mz	time	N1	N2	N3	N4	N5	N6	SI1	SI2	SI3	SI4	SI5	SI6
85.02865196	275.3154044	22.76544365	24.23538128	22.97451257	22.07943053	22.78292976	22.6140643	22.31771795	21.71593773	21.84659619	21.40700638	22.50709517	22.22318721
85.02868748	114.3203084	21.63362312	21.41121087	16.83998967	22.89927607	22.35276593	22.25294134	20.27491261	21.68478041	21.74854908	20.95413621	21.53106896	15.84769911
85.04799534	127.0756394	21.55774316	23.62524179	22.56254148	0	21.93497702	22.80587962	21.80556972	22.33063247	21.86233631	21.24940054	20.98970893	21.08597796
85.06507359	261.7958538	26.65281277	27.50561595	26.35398682	26.29326371	25.87240297	26.99088994	25.80606726	26.44498203	25.86517077	25.60430874	25.59081795	26.00320538
85.07627944	160.8882793	22.94398249	22.11260045	23.32956318	20.40419416	21.29315845	22.98441284	22.39519066	23.13322458	21.89559274	22.12403181	21.94483105	22.71336556
85.08438541	166.1982039	23.62919963	24.28614825	23.38713055	22.30543224	23.16501713	24.94154958	23.19981634	23.55336627	23.5908192	22.97175248	21.97114103	22.63989726
85.10143397	271.5915742	22.63376759	23.83179069	23.10914486	22.89205394	22.0799872	23.01938521	22.12566454	22.55742957	21.72401492	21.33137362	21.86282822	22.64535035
85.1148779	256.2715788	22.1415895	22.99185232	21.57237756	21.50353793	23.56678101	16.61219646	23.16666956	21.85011651	23.0914209	21.32947162	23.40792656	23.41625763
86.00232405	217.1287944	24.60554365	25.33550476	24.4126279	24.48658766	24.57130597	24.69121789	24.24729503	24.21865912	24.14617263	23.48900974	24.58617175	24.28145815
86.06029806	160.3520707	25.31184935	25.6306738	24.25586679	24.9171277	24.63554164	23.97093351	23.30642338	24.15814816	24.17088045	23.88794742	24.7169579	23.68733225
86.08185581	86.04735195	24.16280497	25.03642717	23.00965204	19.5256014	23.42574919	24.66700138	23.80559558	23.34290514	22.63604787	22.79154158	23.88096024	24.51126928
86.09666947	91.54952548	33.20780548	34.44271356	32.64922043	32.55075169	32.69068546	33.25843675	31.49345045	32.85240398	32.09700263	31.60079908	32.41336846	32.34769075
86.11153264	86.35956286	0	24.95368789	23.20011194	0	24.59516133	24.83394971	23.68283153	24.27037651	22.60704242	22.95389734	22.19562092	23.6632241
86.90890762	92.79341051	23.07850073	23.34440118	22.16869036	22.28246747	23.87204793	22.63734693	23.24839093	23.4239679	23.29004396	21.54659572	21.32861112	23.09607334
87.00430803	268.0443766	23.7924373	21.57701021	22.23019946	23.2871385	22.0809878	22.79932377	22.34359219	20.69901585	22.27223023	21.10123116	22.55591381	22.93438595
87.04433464	262.7579856	26.64769109	27.36500711	25.99481161	26.0608899	26.72042192	26.59731987	26.07613239	26.57562432	25.71315802	25.09230851	26.21507464	26.02816102
87.0555704	124.4164203	22.47454121	20.91361156	22.13411749	20.63778669	22.17823194	23.38180348	22.17315775	23.70977235	22.20538626	22.63823549	20.41934112	22.07816369
87.08076829	29.18922724	26.0082484	28.42013854	27.03677771	27.64086285	27.68429256	26.732474	26.77855323	26.44875598	26.39741165	25.0875234	26.13846952	25.83413433
